game_id,team_id,opponent,points_scored,fast_break_points_for,fast_break_points_against,turnover_points_for,turnover_points_against,second_chance_points_for,second_chance_points_against,defensive_rebounds_for,defensive_rebounds_against,offensive_rebounds_for,offensive_rebounds_against,turnovers_for,turnovers_against,steals_for,steals_against,assists_for,assists_against,3P%_for,3P%_against,2P%_for,2P%_against,FT%_for,PFR_for,PFD_against,3PR_for,3PR_against,FTR_for,FTR_against,PACE,ORtg,DRtg,eFG%,TS%
E2017_146_b,OLY,KHI,94,6,5,22,6,18,15,33,25,15,14,9,14,4,4,26,11,35.294117647058826,28.571428571428573,62.7906976744186,44.44444444444444,68.96551724137932,30.666666666666668,34.666666666666664,28.33333333333333,31.818181818181817,48.333333333333336,31.818181818181817,75.0,122.66666666666669,100.0,60.0,63.22155030236393
E2017_147_a,TEL,RED,64,5,6,6,22,15,18,25,33,14,15,14,9,4,4,11,26,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2017_147_b,RED,TEL,70,2,8,12,12,5,7,26,26,14,12,9,9,5,6,13,17,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2017_148_a,ZAL,PAM,86,2,5,9,21,7,15,19,18,11,13,12,7,3,5,17,20,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2017_148_b,PAM,ZAL,81,4,7,10,19,16,8,29,17,17,7,16,8,4,8,15,21,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2017_149_a,IST,ULK,79,6,6,8,26,14,17,17,20,14,7,15,6,3,6,11,25,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2017_149_b,ULK,IST,67,5,3,10,2,14,11,26,25,12,7,7,11,2,4,15,13,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2017_150_a,BAS,MIL,73,8,4,11,16,4,9,30,23,7,11,21,13,6,13,19,17,33.333333333333336,38.46153846153846,63.41463414634146,63.333333333333336,81.81818181818181,34.01360544217687,32.6530612244898,26.785714285714285,46.42857142857143,39.285714285714285,50.0,73.5,115.64625850340136,125.17006802721087,59.82142857142857,64.7076735688185
E2017_150_b,MIL,BAS,101,13,10,14,14,10,14,21,19,5,11,12,13,7,7,23,21,38.46153846153846,33.333333333333336,63.333333333333336,63.41463414634146,85.71428571428571,32.6530612244898,34.01360544217687,46.42857142857143,26.785714285714285,50.0,39.285714285714285,73.5,125.17006802721087,115.64625850340136,60.71428571428572,67.33021077283372
E2017_151_a,PAN,CSK,62,3,5,2,10,11,14,25,26,7,12,11,7,4,2,13,15,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2017_151_b,CSK,PAN,110,6,6,26,8,17,14,20,17,7,14,6,15,6,3,25,11,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2017_152_a,MAL,MAD,87,10,13,14,14,14,10,19,21,11,5,13,12,7,7,21,23,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2017_152_b,MAD,MAL,75,4,8,16,11,9,4,23,30,11,7,13,21,13,6,17,19,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
