game_id,score
E2016_154_a,79
E2016_154_b,93
E2016_155_a,85
E2016_155_b,80
E2016_156_a,60
E2016_156_b,52
E2016_157_a,80
E2016_157_b,77
E2016_158_a,66
E2016_158_b,69
E2016_159_a,83
E2016_159_b,77
E2016_160_a,94
E2016_160_b,89
E2016_161_a,90
E2016_161_b,75
E2016_162_a,89
E2016_162_b,87
E2016_163_a,77
E2016_163_b,71
E2016_164_a,75
E2016_164_b,90
E2016_165_a,89
E2016_165_b,85
E2016_166_a,72
E2016_166_b,86
E2016_167_a,79
E2016_167_b,84
E2016_168_a,71
E2016_168_b,79
E2016_169_a,90
E2016_169_b,86
E2016_170_a,85
E2016_170_b,84
E2016_171_a,81
E2016_171_b,72
E2016_172_a,77
E2016_172_b,81
E2016_173_a,102
E2016_173_b,80
E2016_174_a,72
E2016_174_b,65
E2016_175_a,62
E2016_175_b,69
E2016_176_a,73
E2016_176_b,64
E2016_177_a,77
E2016_177_b,58
E2016_178_a,93
E2016_178_b,81
E2016_179_a,78
E2016_179_b,83
E2016_180_a,67
E2016_180_b,64
E2016_181_a,96
E2016_181_b,85
E2016_182_a,86
E2016_182_b,91
E2016_183_a,83
E2016_183_b,82
E2016_184_a,101
E2016_184_b,83
E2016_185_a,87
E2016_185_b,84
E2016_186_a,87
E2016_186_b,74
E2016_187_a,71
E2016_187_b,82
E2016_188_a,67
E2016_188_b,76
E2016_189_a,74
E2016_189_b,60
E2016_190_a,77
E2016_190_b,72
E2016_191_a,61
E2016_191_b,85
E2016_192_a,92
E2016_192_b,99
E2016_193_a,85
E2016_193_b,69
E2016_194_a,74
E2016_194_b,79
E2016_195_a,92
E2016_195_b,82
E2016_196_a,98
E2016_196_b,68
E2016_197_a,64
E2016_197_b,58
E2016_198_a,68
E2016_198_b,87
E2016_199_a,70
E2016_199_b,62
E2016_200_a,81
E2016_200_b,73
E2016_201_a,92
E2016_201_b,87
E2016_202_a,78
E2016_202_b,83
E2016_203_a,71
E2016_203_b,78
E2016_204_a,88
E2016_204_b,82
E2016_205_a,67
E2016_205_b,56
E2016_206_a,79
E2016_206_b,78
E2016_207_a,71
E2016_207_b,80
E2016_208_a,80
E2016_208_b,82
E2016_209_a,71
E2016_209_b,96
E2016_210_a,79
E2016_210_b,81
E2016_211_a,74
E2016_211_b,61
E2016_212_a,68
E2016_212_b,76
E2016_213_a,64
E2016_213_b,66
E2016_214_a,95
E2016_214_b,85
E2016_215_a,75
E2016_215_b,67
E2016_216_a,85
E2016_216_b,69
E2016_217_a,80
E2016_217_b,77
E2016_218_a,76
E2016_218_b,84
E2016_219_a,63
E2016_219_b,72
E2016_220_a,77
E2016_220_b,93
E2016_221_a,73
E2016_221_b,67
E2016_222_a,67
E2016_222_b,54
E2016_223_a,73
E2016_223_b,79
E2016_224_a,74
E2016_224_b,85
E2016_225_a,77
E2016_225_b,69
E2016_226_a,97
E2016_226_b,99
E2016_227_a,76
E2016_227_b,71
E2016_228_a,83
E2016_228_b,65
E2016_229_a,80
E2016_229_b,103
E2016_230_a,85
E2016_230_b,80
E2016_231_a,61
E2016_231_b,56
E2016_232_a,84
E2016_232_b,88
E2016_233_a,79
E2016_233_b,84
E2016_234_a,68
E2016_234_b,65
E2016_235_a,79
E2016_235_b,84
E2016_236_a,61
E2016_236_b,81
E2016_237_a,90
E2016_237_b,86
E2016_238_a,78
E2016_238_b,62
E2016_239_a,68
E2016_239_b,91
E2016_240_a,97
E2016_240_b,80
E2017_009_a,90
E2017_009_b,82
E2017_010_a,86
E2017_010_b,92
E2017_011_a,74
E2017_011_b,68
E2017_012_a,93
E2017_012_b,83
E2017_013_a,82
E2017_013_b,69
E2017_014_a,85
E2017_014_b,77
E2017_015_a,80
E2017_015_b,75
E2017_016_a,78
E2017_016_b,71
E2017_017_a,75
E2017_017_b,81
E2017_018_a,85
E2017_018_b,78
E2017_019_a,68
E2017_019_b,69
E2017_020_a,100
E2017_020_b,90
E2017_021_a,63
E2017_021_b,80
E2017_022_a,81
E2017_022_b,63
E2017_023_a,81
E2017_023_b,70
E2017_024_a,76
E2017_024_b,80
E2017_025_a,87
E2017_025_b,84
E2017_026_a,78
E2017_026_b,74
E2017_027_a,92
E2017_027_b,75
E2017_028_a,66
E2017_028_b,87
E2017_029_a,80
E2017_029_b,98
E2017_030_a,78
E2017_030_b,72
E2017_031_a,70
E2017_031_b,68
E2017_032_a,91
E2017_032_b,53
E2017_033_a,69
E2017_033_b,75
E2017_034_a,94
E2017_034_b,91
E2017_035_a,79
E2017_035_b,66
E2017_036_a,79
E2017_036_b,68
E2017_037_a,80
E2017_037_b,86
E2017_038_a,74
E2017_038_b,79
E2017_039_a,85
E2017_039_b,84
E2017_040_a,73
E2017_040_b,51
E2017_041_a,94
E2017_041_b,67
E2017_042_a,62
E2017_042_b,94
E2017_043_a,85
E2017_043_b,89
E2017_044_a,90
E2017_044_b,83
E2017_045_a,57
E2017_045_b,80
E2017_046_a,91
E2017_046_b,90
E2017_047_a,62
E2017_047_b,70
E2017_048_a,79
E2017_048_b,65
E2017_049_a,105
E2017_049_b,75
